Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
Mateo Kovačić,8.0,hr CRO,DM,30-223,23,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,ManchesterCity_ManchesterUtd_20241215
Bernardo Silva,20.0,pt POR,"RM,CM",30-127,90,2,1,2,0,0,3,33.3,2,3,0,3,1,3,1,0,True,ManchesterCity_ManchesterUtd_20241215
İlkay Gündoğan,19.0,de GER,"DM,CM",34-052,88,2,1,0,1,1,1,0.0,1,0,0,0,2,4,1,0,True,ManchesterCity_ManchesterUtd_20241215
Sávio,26.0,br BRA,RM,20-249,2,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,True,ManchesterCity_ManchesterUtd_20241215
Matheus Nunes,27.0,pt POR,LB,26-110,90,3,3,2,1,0,6,50.0,3,1,0,1,1,4,0,0,True,ManchesterCity_ManchesterUtd_20241215
Joško Gvardiol,24.0,hr CRO,CB,22-327,90,1,0,0,0,1,0,,0,3,1,2,3,4,3,0,True,ManchesterCity_ManchesterUtd_20241215
Rúben Dias,3.0,pt POR,CB,27-215,90,0,0,0,0,0,0,,0,1,1,0,1,1,1,0,True,ManchesterCity_ManchesterUtd_20241215
Kyle Walker,2.0,eng ENG,RB,34-201,90,1,1,1,0,0,1,100.0,0,1,1,0,0,1,1,0,True,ManchesterCity_ManchesterUtd_20241215
Ederson,31.0,br BRA,GK,31-120,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,ManchesterCity_ManchesterUtd_20241215
Rasmus Højlund,9.0,dk DEN,FW,21-315,77,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,ManchesterCity_ManchesterUtd_20241215
Joshua Zirkzee,11.0,nl NED,FW,23-207,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterCity_ManchesterUtd_20241215
Mason Mount,7.0,eng ENG,LW,25-340,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterCity_ManchesterUtd_20241215
Kobbie Mainoo,37.0,eng ENG,CM,19-240,77,5,2,1,2,2,4,75.0,1,2,0,2,0,5,2,0,False,ManchesterCity_ManchesterUtd_20241215
Amad Diallo,16.0,ci CIV,RW,22-157,89,1,1,0,1,0,1,100.0,0,0,0,0,2,3,0,0,False,ManchesterCity_ManchesterUtd_20241215
Victor Lindelöf,2.0,se SWE,CB,30-151,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,ManchesterCity_ManchesterUtd_20241215
Diogo Dalot,20.0,pt POR,"LM,LW",25-272,90,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,False,ManchesterCity_ManchesterUtd_20241215
Manuel Ugarte,25.0,uy URU,CM,23-248,90,4,1,3,1,0,4,25.0,3,2,0,2,2,6,1,0,False,ManchesterCity_ManchesterUtd_20241215
Bruno Fernandes,8.0,pt POR,"LW,CM",30-098,90,3,2,1,1,1,3,33.3,2,1,0,1,1,4,2,0,False,ManchesterCity_ManchesterUtd_20241215
Noussair Mazraoui,3.0,ma MAR,RM,27-031,77,6,3,3,2,1,7,57.1,3,4,1,3,1,7,2,0,False,ManchesterCity_ManchesterUtd_20241215
Antony,21.0,br BRA,"RM,RW",24-295,13,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,False,ManchesterCity_ManchesterUtd_20241215
Lisandro Martínez,6.0,ar ARG,"CB,LB",26-332,90,0,0,0,0,0,0,,0,3,1,2,1,1,2,0,False,ManchesterCity_ManchesterUtd_20241215
Harry Maguire,5.0,eng ENG,CB,31-285,90,3,1,2,1,0,1,100.0,0,2,1,1,5,8,3,1,False,ManchesterCity_ManchesterUtd_20241215
Matthijs de Ligt,4.0,nl NED,CB,25-125,78,1,1,1,0,0,1,100.0,0,0,0,0,3,4,1,0,False,ManchesterCity_ManchesterUtd_20241215
Leny Yoro,15.0,fr FRA,"CB,RB",19-032,12,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,False,ManchesterCity_ManchesterUtd_20241215
André Onana,24.0,cm CMR,GK,28-257,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,ManchesterCity_ManchesterUtd_20241215
Kamaldeen Sulemana,20.0,gh GHA,FW,22-304,14,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Tottenham_20241215
Nathan Wood-Gordon,15.0,eng ENG,CB,22-198,76,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,True,Southampton_Tottenham_20241215
Adam Armstrong,9.0,eng ENG,FW,27-309,81,3,1,0,3,0,3,33.3,2,1,1,0,1,4,0,0,True,Southampton_Tottenham_20241215
Cameron Archer,19.0,eng ENG,FW,23-147,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Tottenham_20241215
Tyler Dibling,33.0,eng ENG,"RM,AM",18-278,90,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,True,Southampton_Tottenham_20241215
Mateus Fernandes,18.0,pt POR,LM,20-158,90,1,1,0,1,0,2,50.0,1,1,0,1,0,1,1,0,True,Southampton_Tottenham_20241215
Flynn Downes,4.0,eng ENG,CM,25-330,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,True,Southampton_Tottenham_20241215
Joe Aribo,7.0,ng NGA,"CM,RM",28-147,90,3,3,2,1,0,5,40.0,3,1,0,1,0,3,0,0,True,Southampton_Tottenham_20241215
Ryan Manning,3.0,ie IRL,LB,28-184,61,3,2,2,1,0,5,40.0,3,1,0,1,2,5,0,0,True,Southampton_Tottenham_20241215
Yukinari Sugawara,16.0,jp JPN,RB,24-170,29,1,1,0,1,0,1,100.0,0,0,0,0,1,2,1,0,True,Southampton_Tottenham_20241215
Jan Bednarek,35.0,pl POL,CB,28-247,90,0,0,0,0,0,0,,0,4,3,1,3,3,6,1,True,Southampton_Tottenham_20241215
Taylor Harwood-Bellis,6.0,eng ENG,CB,22-320,90,1,1,0,0,1,1,100.0,0,0,0,0,3,4,3,0,True,Southampton_Tottenham_20241215
Kyle Walker-Peters,2.0,eng ENG,"RB,LB",27-246,90,3,1,2,0,1,1,100.0,0,0,0,0,1,4,1,0,True,Southampton_Tottenham_20241215
Alex McCarthy,1.0,eng ENG,GK,35-012,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Southampton_Tottenham_20241215
Dominic Solanke,19.0,eng ENG,FW,27-092,81,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,False,Southampton_Tottenham_20241215
Will Lankshear,42.0,eng ENG,FW,19-239,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Southampton_Tottenham_20241215
Son Heung-min,7.0,kr KOR,LW,32-160,45,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Southampton_Tottenham_20241215
Brennan Johnson,22.0,wls WAL,"LW,RW",23-206,45,2,0,0,1,1,1,100.0,0,0,0,0,1,3,0,0,False,Southampton_Tottenham_20241215
Dejan Kulusevski,21.0,se SWE,"RW,AM",24-234,90,1,1,0,1,0,0,,0,1,0,1,0,1,0,0,False,Southampton_Tottenham_20241215
James Maddison,10.0,eng ENG,AM,28-022,76,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,False,Southampton_Tottenham_20241215
Timo Werner,16.0,de GER,LW,28-284,14,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,False,Southampton_Tottenham_20241215
Lucas Bergvall,15.0,se SWE,DM,18-317,90,1,1,0,1,0,0,,0,0,0,0,3,4,1,0,False,Southampton_Tottenham_20241215
Pape Matar Sarr,29.0,sn SEN,DM,22-092,90,3,3,1,2,0,1,0.0,1,2,0,2,4,7,0,0,False,Southampton_Tottenham_20241215
Destiny Udogie,13.0,it ITA,LB,22-017,27,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,False,Southampton_Tottenham_20241215
Pedro Porro,23.0,es ESP,RB,25-093,63,0,0,0,0,0,0,,0,1,0,1,1,1,1,1,False,Southampton_Tottenham_20241215
Archie Gray,14.0,eng ENG,"CB,LB",18-278,90,1,0,0,1,0,0,,0,2,2,0,1,2,0,0,False,Southampton_Tottenham_20241215
Radu Drăgușin,6.0,ro ROU,CB,22-316,90,1,0,1,0,0,1,100.0,0,0,0,0,4,5,1,0,False,Southampton_Tottenham_20241215
Djed Spence,24.0,eng ENG,"LB,RB",24-128,76,3,3,1,2,0,1,100.0,0,0,0,0,1,4,4,0,False,Southampton_Tottenham_20241215
Alfie Dorrington,48.0,eng ENG,CB,19-239,14,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Southampton_Tottenham_20241215
Fraser Forster,20.0,eng ENG,GK,36-273,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Southampton_Tottenham_20241215
Nicolas Jackson,15.0,sn SEN,FW,23-178,82,3,1,2,0,1,2,50.0,1,0,0,0,0,3,2,0,True,Chelsea_Brentford_20241215
Christopher Nkunku,18.0,fr FRA,FW,27-031,8,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,Chelsea_Brentford_20241215
Jadon Sancho,19.0,eng ENG,LW,24-265,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Chelsea_Brentford_20241215
Noni Madueke,11.0,eng ENG,RW,22-280,90,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,True,Chelsea_Brentford_20241215
Cole Palmer,20.0,eng ENG,AM,22-223,90,1,0,1,0,0,1,100.0,0,1,0,1,0,1,1,0,True,Chelsea_Brentford_20241215
Enzo Fernández,8.0,ar ARG,DM,23-333,90,3,1,1,1,1,2,50.0,1,1,0,1,1,4,1,0,True,Chelsea_Brentford_20241215
Moisés Caicedo,25.0,ec ECU,DM,23-043,90,2,2,1,1,0,2,50.0,1,1,0,1,4,6,0,0,True,Chelsea_Brentford_20241215
Marc Cucurella,3.0,es ESP,LB,26-146,89,2,2,2,0,0,1,100.0,0,0,0,0,1,3,2,0,True,Chelsea_Brentford_20241215
Levi Colwill,6.0,eng ENG,CB,21-293,90,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,True,Chelsea_Brentford_20241215
Tosin Adarabioyo,4.0,eng ENG,CB,27-082,90,2,1,2,0,0,1,0.0,1,1,0,1,1,3,6,0,True,Chelsea_Brentford_20241215
Malo Gusto,27.0,fr FRA,RB,21-210,90,2,1,0,2,0,2,100.0,0,2,1,1,1,3,3,0,True,Chelsea_Brentford_20241215
Robert Sánchez,1.0,es ESP,GK,27-027,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,Chelsea_Brentford_20241215
Yoane Wissa,11.0,cd COD,FW,28-103,75,1,1,0,1,0,0,,0,0,0,0,0,1,1,0,False,Chelsea_Brentford_20241215
Kevin Schade,7.0,de GER,FW,23-018,15,1,1,1,0,0,0,,0,1,0,1,0,1,0,0,False,Chelsea_Brentford_20241215
Bryan Mbeumo,19.0,cm CMR,FW,25-130,90,2,1,0,1,1,2,50.0,1,1,0,1,0,2,1,0,False,Chelsea_Brentford_20241215
Mikkel Damsgaard,24.0,dk DEN,CM,24-165,62,3,1,2,0,1,2,50.0,1,1,0,1,0,3,1,0,False,Chelsea_Brentford_20241215
Vitaly Janelt,27.0,de GER,CM,26-219,28,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,Chelsea_Brentford_20241215
Christian Nørgaard,6.0,dk DEN,CM,30-280,90,2,1,1,1,0,2,100.0,0,0,0,0,1,3,5,0,False,Chelsea_Brentford_20241215
Yehor Yarmoliuk,18.0,ua UKR,CM,20-289,75,1,1,0,1,0,1,100.0,0,4,1,3,0,1,1,0,False,Chelsea_Brentford_20241215
Fabio Carvalho,14.0,pt POR,CM,22-107,15,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,Chelsea_Brentford_20241215
Keane Lewis-Potter,23.0,eng ENG,WB,23-297,85,0,0,0,0,0,0,,0,1,1,0,2,2,3,0,False,Chelsea_Brentford_20241215
Jayden Meghoma,21.0,eng ENG,WB,18-170,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Chelsea_Brentford_20241215
Mads Roerslev,30.0,dk DEN,WB,25-174,75,1,0,0,1,0,1,100.0,0,1,1,0,0,1,3,0,False,Chelsea_Brentford_20241215
Kristoffer Ajer,20.0,no NOR,WB,26-242,15,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,False,Chelsea_Brentford_20241215
Nathan Collins,22.0,ie IRL,CB,23-229,90,2,2,2,0,0,2,100.0,0,0,0,0,0,2,3,0,False,Chelsea_Brentford_20241215
Ethan Pinnock,5.0,jm JAM,CB,31-200,90,1,1,1,0,0,1,100.0,0,3,2,1,1,2,9,0,False,Chelsea_Brentford_20241215
Sepp van den Berg,4.0,nl NED,CB,22-361,90,2,2,1,1,0,1,100.0,0,4,3,1,2,4,8,0,False,Chelsea_Brentford_20241215
Mark Flekken,1.0,nl NED,GK,31-185,90,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,1,False,Chelsea_Brentford_20241215
Evanilson,9.0,br BRA,FW,25-071,79,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Bournemouth_WestHam_20241216
Enes Ünal,26.0,tr TUR,FW,27-220,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Bournemouth_WestHam_20241216
Dango Ouattara,11.0,bf BFA,LW,22-309,90,4,2,2,1,1,5,40.0,3,2,2,0,1,5,1,0,True,Bournemouth_WestHam_20241216
Antoine Semenyo,24.0,gh GHA,RW,24-344,67,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,True,Bournemouth_WestHam_20241216
David Brooks,7.0,wls WAL,RW,27-161,23,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,True,Bournemouth_WestHam_20241216
Justin Kluivert,19.0,nl NED,AM,25-225,79,0,0,0,0,0,2,0.0,2,0,0,0,2,2,1,0,True,Bournemouth_WestHam_20241216
Philip Billing,29.0,dk DEN,AM,28-188,11,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,True,Bournemouth_WestHam_20241216
Lewis Cook,4.0,eng ENG,"DM,RB",27-317,90,4,1,3,1,0,4,100.0,0,0,0,0,2,6,3,0,True,Bournemouth_WestHam_20241216
Ryan Christie,10.0,sct SCO,DM,29-298,90,3,3,1,1,1,4,75.0,1,0,0,0,1,4,4,0,True,Bournemouth_WestHam_20241216
Milos Kerkez,3.0,hu HUN,LB,21-039,90,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,True,Bournemouth_WestHam_20241216
Dean Huijsen,2.0,es ESP,CB,19-246,90,0,0,0,0,0,0,,0,2,2,0,2,2,4,0,True,Bournemouth_WestHam_20241216
Illia Zabarnyi,27.0,ua UKR,CB,22-106,90,1,1,0,1,0,3,33.3,2,3,2,1,0,1,4,0,True,Bournemouth_WestHam_20241216
Adam Smith,15.0,eng ENG,RB,33-231,67,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,0,True,Bournemouth_WestHam_20241216
Tyler Adams,12.0,us USA,DM,25-306,23,1,1,1,0,0,0,,0,0,0,0,1,2,0,0,True,Bournemouth_WestHam_20241216
Kepa Arrizabalaga,13.0,es ESP,GK,30-074,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Bournemouth_WestHam_20241216
Jarrod Bowen,20.0,eng ENG,"FW,RM",27-362,90,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,False,Bournemouth_WestHam_20241216
Mohammed Kudus,14.0,gh GHA,LM,24-136,74,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,False,Bournemouth_WestHam_20241216
Oliver Scarles,57.0,eng ENG,LB,19-004,16,1,0,1,0,0,1,100.0,0,0,0,0,0,1,0,0,False,Bournemouth_WestHam_20241216
Carlos Soler,4.0,es ESP,CM,27-349,55,0,0,0,0,0,0,,0,2,2,0,0,0,1,0,False,Bournemouth_WestHam_20241216
Niclas Füllkrug,11.0,de GER,FW,31-311,35,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,False,Bournemouth_WestHam_20241216
Tomáš Souček,28.0,cz CZE,CM,29-293,90,1,1,0,1,0,0,,0,1,1,0,2,3,5,0,False,Bournemouth_WestHam_20241216
Lucas Paquetá,10.0,br BRA,"RM,CM",27-111,90,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0,False,Bournemouth_WestHam_20241216
Edson Álvarez,19.0,mx MEX,DM,27-053,74,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,False,Bournemouth_WestHam_20241216
Crysencio Summerville,7.0,nl NED,LM,23-047,16,1,0,0,1,0,2,50.0,1,1,1,0,0,1,0,0,False,Bournemouth_WestHam_20241216
Aaron Wan-Bissaka,29.0,cd COD,"LB,RB",27-020,89,1,1,1,0,0,0,,0,0,0,0,3,4,1,0,False,Bournemouth_WestHam_20241216
Kaelan Casey,42.0,eng ENG,CB,20-049,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Bournemouth_WestHam_20241216
Max Kilman,26.0,eng ENG,CB,27-207,90,3,0,1,2,0,2,100.0,0,5,5,0,0,3,7,1,False,Bournemouth_WestHam_20241216
Konstantinos Mavropanos,15.0,gr GRE,CB,27-005,90,1,1,1,0,0,1,100.0,0,2,2,0,1,2,4,1,False,Bournemouth_WestHam_20241216
Vladimír Coufal,5.0,cz CZE,"RB,CB",32-116,90,2,2,2,0,0,1,0.0,1,2,2,0,0,2,6,0,False,Bournemouth_WestHam_20241216
Łukasz Fabiański,1.0,pl POL,GK,39-242,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Bournemouth_WestHam_20241216
Jáder Durán,9.0,co COL,FW,21-008,79,1,1,0,1,0,0,,0,1,0,1,0,1,2,0,True,AstonVilla_ManchesterCity_20241221
Ollie Watkins,11.0,eng ENG,FW,28-357,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,AstonVilla_ManchesterCity_20241221
Morgan Rogers,27.0,eng ENG,LW,22-148,89,1,1,1,0,0,1,0.0,1,1,0,1,0,1,1,0,True,AstonVilla_ManchesterCity_20241221
Emi Buendía,10.0,ar ARG,LW,27-362,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,AstonVilla_ManchesterCity_20241221
John McGinn,7.0,sct SCO,RW,30-064,90,2,1,0,1,1,2,0.0,2,0,0,0,0,2,0,0,True,AstonVilla_ManchesterCity_20241221
Youri Tielemans,8.0,be BEL,AM,27-228,90,3,2,2,1,0,2,0.0,2,0,0,0,1,4,0,0,True,AstonVilla_ManchesterCity_20241221
Amadou Onana,24.0,be BEL,DM,23-127,90,3,1,3,0,0,1,100.0,0,0,0,0,1,4,1,0,True,AstonVilla_ManchesterCity_20241221
Boubacar Kamara,44.0,fr FRA,DM,25-028,90,6,3,4,1,1,5,80.0,1,1,0,1,0,6,0,0,True,AstonVilla_ManchesterCity_20241221
Lucas Digne,12.0,fr FRA,LB,31-154,90,2,1,2,0,0,3,66.7,1,1,0,1,1,3,2,1,True,AstonVilla_ManchesterCity_20241221
Pau Torres,14.0,es ESP,CB,27-340,90,2,1,2,0,0,1,100.0,0,1,1,0,0,2,5,0,True,AstonVilla_ManchesterCity_20241221
Ezri Konsa,4.0,eng ENG,CB,27-059,90,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,True,AstonVilla_ManchesterCity_20241221
Matty Cash,2.0,pl POL,RB,27-136,90,2,1,2,0,0,2,50.0,1,2,0,2,0,2,1,0,True,AstonVilla_ManchesterCity_20241221
Emiliano Martínez,23.0,ar ARG,GK,32-110,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,AstonVilla_ManchesterCity_20241221
Erling Haaland,9.0,no NOR,FW,24-153,90,1,1,1,0,0,0,,0,0,0,0,0,1,1,0,False,AstonVilla_ManchesterCity_20241221
Jack Grealish,10.0,eng ENG,"LW,DM",29-102,90,1,1,0,0,1,0,,0,1,0,1,0,1,1,0,False,AstonVilla_ManchesterCity_20241221
Bernardo Silva,20.0,pt POR,"RW,DM",30-133,90,0,0,0,0,0,0,,0,4,1,3,0,0,1,0,False,AstonVilla_ManchesterCity_20241221
Phil Foden,47.0,eng ENG,AM,24-207,90,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,False,AstonVilla_ManchesterCity_20241221
Mateo Kovačić,8.0,hr CRO,DM,30-229,83,2,1,1,0,1,3,33.3,2,1,0,1,1,3,0,0,False,AstonVilla_ManchesterCity_20241221
Jeremy Doku,11.0,be BEL,LW,22-208,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,AstonVilla_ManchesterCity_20241221
İlkay Gündoğan,19.0,de GER,DM,34-058,72,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,False,AstonVilla_ManchesterCity_20241221
Sávio,26.0,br BRA,RW,20-255,18,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,False,AstonVilla_ManchesterCity_20241221
Joško Gvardiol,24.0,hr CRO,"CB,LB",22-333,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,False,AstonVilla_ManchesterCity_20241221
John Stones,5.0,eng ENG,CB,30-207,45,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,AstonVilla_ManchesterCity_20241221
Kyle Walker,2.0,eng ENG,RB,34-207,45,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,False,AstonVilla_ManchesterCity_20241221
Manuel Akanji,25.0,ch SUI,CB,29-155,90,1,0,1,0,0,1,100.0,0,1,1,0,1,2,2,0,False,AstonVilla_ManchesterCity_20241221
Rico Lewis,82.0,eng ENG,"LB,RB",20-030,90,1,1,0,1,0,1,100.0,0,2,0,2,1,2,3,0,False,AstonVilla_ManchesterCity_20241221
Stefan Ortega,18.0,de GER,GK,32-045,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,AstonVilla_ManchesterCity_20241221
Conor Chaplin,10.0,eng ENG,"FW,AM",27-309,61,2,0,0,0,2,3,0.0,3,1,0,1,0,2,0,0,True,IpswichTown_NewcastleUtd_20241221
Jack Taylor,14.0,ie IRL,AM,26-181,29,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,IpswichTown_NewcastleUtd_20241221
Sammie Szmodics,23.0,ie IRL,LW,29-088,77,0,0,0,0,0,4,0.0,4,0,0,0,0,0,1,0,True,IpswichTown_NewcastleUtd_20241221
Nathan Broadhead,33.0,wls WAL,LW,26-260,13,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,IpswichTown_NewcastleUtd_20241221
Wes Burns,7.0,wls WAL,RW,30-028,77,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,IpswichTown_NewcastleUtd_20241221
Ben Johnson,18.0,eng ENG,RW,24-332,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,IpswichTown_NewcastleUtd_20241221
Omari Hutchinson,20.0,eng ENG,AM,21-052,45,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,IpswichTown_NewcastleUtd_20241221
Ali Al Hamadi,16.0,iq IRQ,FW,22-295,45,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,IpswichTown_NewcastleUtd_20241221
Jens Cajuste,12.0,se SWE,DM,25-133,61,1,0,1,0,0,2,50.0,1,0,0,0,0,1,1,1,True,IpswichTown_NewcastleUtd_20241221
Kalvin Phillips,8.0,eng ENG,DM,29-019,29,1,1,0,0,1,0,,0,0,0,0,1,2,0,0,True,IpswichTown_NewcastleUtd_20241221
Sam Morsy,5.0,eg EGY,DM,33-102,90,1,0,0,1,0,0,,0,1,1,0,0,1,1,0,True,IpswichTown_NewcastleUtd_20241221
Leif Davis,3.0,eng ENG,LB,24-344,90,2,2,1,1,0,1,100.0,0,0,0,0,1,3,1,0,True,IpswichTown_NewcastleUtd_20241221
Cameron Burgess,15.0,au AUS,CB,29-061,90,1,0,1,0,0,1,100.0,0,0,0,0,0,1,3,0,True,IpswichTown_NewcastleUtd_20241221
Dara O'Shea,26.0,ie IRL,CB,25-292,90,2,2,1,1,0,2,50.0,1,1,0,1,1,3,5,0,True,IpswichTown_NewcastleUtd_20241221
Harry Clarke,2.0,eng ENG,RB,23-294,90,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,True,IpswichTown_NewcastleUtd_20241221
Arijanet Muric,1.0,xk KVX,GK,26-044,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,True,IpswichTown_NewcastleUtd_20241221
Alexander Isak,14.0,se SWE,FW,25-091,72,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_NewcastleUtd_20241221
Miguel Almirón,24.0,py PAR,RW,30-315,18,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,False,IpswichTown_NewcastleUtd_20241221
Anthony Gordon,10.0,eng ENG,"LW,FW",23-301,90,2,1,0,2,0,0,,0,1,0,1,0,2,2,0,False,IpswichTown_NewcastleUtd_20241221
Jacob Murphy,23.0,eng ENG,RW,29-301,63,1,1,0,0,1,1,100.0,0,3,0,3,0,1,0,0,False,IpswichTown_NewcastleUtd_20241221
Harvey Barnes,11.0,eng ENG,"LW,RW",27-012,27,1,0,0,1,0,0,,0,1,1,0,0,1,0,0,False,IpswichTown_NewcastleUtd_20241221
Joe Willock,28.0,eng ENG,LM,25-123,63,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,IpswichTown_NewcastleUtd_20241221
Sean Longstaff,36.0,eng ENG,"LM,RM",27-052,27,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_NewcastleUtd_20241221
Bruno Guimarães,39.0,br BRA,CM,27-035,79,3,1,2,0,1,2,100.0,0,1,0,1,1,4,1,0,False,IpswichTown_NewcastleUtd_20241221
Lewis Miley,67.0,eng ENG,LM,18-234,11,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_NewcastleUtd_20241221
Sandro Tonali,8.0,it ITA,"RM,CM",24-227,90,2,1,1,1,0,3,66.7,1,0,0,0,2,4,1,0,False,IpswichTown_NewcastleUtd_20241221
Lewis Hall,20.0,eng ENG,LB,20-104,90,1,1,0,1,0,3,33.3,2,0,0,0,0,1,5,0,False,IpswichTown_NewcastleUtd_20241221
Dan Burn,33.0,eng ENG,CB,32-226,90,2,2,2,0,0,2,100.0,0,1,1,0,2,4,2,0,False,IpswichTown_NewcastleUtd_20241221
Fabian Schär,5.0,ch SUI,CB,33-001,90,1,1,0,1,0,1,0.0,1,4,2,2,1,2,2,0,False,IpswichTown_NewcastleUtd_20241221
Valentino Livramento,21.0,eng ENG,RB,22-039,63,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,False,IpswichTown_NewcastleUtd_20241221
Kieran Trippier,2.0,eng ENG,RB,34-093,27,2,2,1,0,1,0,,0,0,0,0,0,2,1,0,False,IpswichTown_NewcastleUtd_20241221
Martin Dúbravka,1.0,sk SVK,GK,35-341,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_NewcastleUtd_20241221
Yoane Wissa,11.0,cd COD,FW,28-109,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Brentford_Nott'hamForest_20241221
Kevin Schade,7.0,de GER,LW,23-024,80,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,True,Brentford_Nott'hamForest_20241221
Fabio Carvalho,14.0,pt POR,LW,22-113,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Brentford_Nott'hamForest_20241221
Bryan Mbeumo,19.0,cm CMR,RW,25-136,90,2,2,0,0,2,1,100.0,0,2,0,2,2,4,1,0,True,Brentford_Nott'hamForest_20241221
Mikkel Damsgaard,24.0,dk DEN,LM,24-171,90,2,1,0,2,0,0,,0,0,0,0,2,4,0,0,True,Brentford_Nott'hamForest_20241221
